NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;NBJRR1;NBJRR5;NBJRR10;NBJBROU;TX;TN;TM;UMM;INST;FFM
92007001;BAGNEUX;48.809667;2.308167;82;200001;20.0;8.0;1.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200002;66.2;16.0;5.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200003;37.7;7.0;3.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200004;127.6;18.0;5.0;5.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200005;97.4;12.0;5.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200006;26.2;3.0;2.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200007;166.3;16.0;8.0;6.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200008;74.3;10.0;6.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200009;38.8;9.0;4.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200010;123.8;13.0;9.0;6.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200011;108.0;19.0;9.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200012;75.7;13.0;6.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200101;79.6;15.0;7.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200102;43.6;8.0;4.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200103;135.0;22.0;9.0;4.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200104;73.0;16.0;6.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200105;33.3;7.0;2.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200106;36.4;6.0;3.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200107;219.1;11.0;8.0;5.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200108;54.2;8.0;4.0;3.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200109;84.4;14.0;7.0;3.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200110;62.8;12.0;4.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200111;47.6;12.0;3.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200112;45.3;9.0;2.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200201;32.5;8.0;1.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200202;80.1;15.0;5.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200203;64.4;9.0;4.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200204;16.3;5.0;0.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200205;78.0;13.0;6.0;3.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200206;70.8;7.0;3.0;3.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200207;45.1;9.0;3.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200208;55.9;10.0;3.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200209;15.0;6.0;0.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200210;58.9;9.0;6.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200211;122.6;17.0;10.0;5.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200212;85.2;16.0;7.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200301;48.9;13.0;2.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200302;28.2;7.0;3.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200303;22.8;3.0;1.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200304;36.7;10.0;2.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200305;71.5;10.0;3.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200306;29.4;9.0;1.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200307;39.6;9.0;4.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200308;49.0;3.0;2.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200309;11.0;3.0;1.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200310;73.8;11.0;7.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200311;57.7;11.0;2.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200312;44.7;9.0;4.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200401;109.1;15.0;10.0;3.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200402;5.3;1.0;0.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200403;34.0;7.0;3.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200404;59.4;15.0;2.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200405;46.1;8.0;5.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200406;18.6;5.0;1.0;0.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200407;58.8;9.0;6.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200408;74.1;15.0;5.0;2.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200409;40.8;4.0;2.0;1.0;0.0;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200411;24.2;7.0;1.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200412;48.7;9.0;4.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200501;59.7;13.0;6.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200502;34.5;10.0;2.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200503;50.2;12.0;5.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200504;60.9;11.0;5.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200505;53.0;7.0;4.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200506;46.7;9.0;4.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200507;34.7;8.0;3.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200508;31.7;7.0;2.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200509;32.3;5.0;3.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200510;22.3;5.0;2.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200511;33.5;13.0;1.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200512;31.4;10.0;3.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200601;47.5;6.0;3.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200602;67.1;12.0;4.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200603;77.0;15.0;7.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200604;26.2;6.0;2.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200605;62.5;15.0;5.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200606;25.3;5.0;2.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200607;44.2;7.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200608;106.3;17.0;7.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200609;38.6;6.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200610;52.0;10.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200611;53.6;9.0;4.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200612;67.3;10.0;6.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200701;30.3;11.0;1.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200702;88.0;13.0;6.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200703;47.1;13.0;5.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200704;10.3;2.0;1.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200705;103.7;14.0;7.0;4.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200706;48.2;10.0;4.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200707;75.0;13.0;5.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200708;198.5;13.0;7.0;4.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200709;23.0;6.0;2.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200711;39.7;7.0;5.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200712;62.8;10.0;5.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200801;57.7;9.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200802;35.3;8.0;3.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200803;85.6;19.0;8.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200804;69.5;13.0;5.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200805;66.8;7.0;3.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200806;11.8;5.0;0.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200807;49.7;7.0;2.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200808;84.2;9.0;4.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200809;17.0;6.0;1.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200810;61.4;12.0;4.0;3.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200811;57.9;12.0;6.0;1.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200812;38.5;9.0;3.0;0.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200901;54.5;10.0;5.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200902;50.0;9.0;2.0;2.0;;;;;;;
92007001;BAGNEUX;48.809667;2.308167;82;200903;31.7;10.0;1.0;1.0;;;;;;;
